Depth dose profile, Water equivalent length	Automatic Fit
Window's range [ch]:	[122, 258]
Window's range [mm]:	[14.64, 30.96]
Peak position:	29.52 mm
Peak-plateau ratio:	1.29  
Clinical range (R90):	16.17 mm
Peak width (@50%):	29.80 mm
Entrance dose:	64.99 %

Water equivalent length	Automatic Fit
0.12	63.62
0.24	63.70
0.36	63.79
0.48	63.88
0.60	63.97
0.72	64.06
0.84	64.15
0.96	64.24
1.08	64.33
1.20	64.42
1.32	64.52
1.44	64.61
1.56	64.71
1.68	64.81
1.80	64.91
1.92	65.01
2.04	65.11
2.16	65.21
2.28	65.31
2.40	65.41
2.52	65.52
2.64	65.62
2.76	65.73
2.88	65.84
3.00	65.95
3.12	66.06
3.24	66.17
3.36	66.28
3.48	66.40
3.60	66.51
3.72	66.63
3.84	66.75
3.96	66.87
4.08	66.99
4.20	67.11
4.32	67.23
4.44	67.36
4.56	67.49
4.68	67.61
4.80	67.74
4.92	67.88
5.04	68.01
5.16	68.14
5.28	68.28
5.40	68.42
5.52	68.56
5.64	68.70
5.76	68.84
5.88	68.99
6.00	69.13
6.12	69.28
6.24	69.43
6.36	69.59
6.48	69.74
6.60	69.90
6.72	70.06
6.84	70.22
6.96	70.39
7.08	70.55
7.20	70.72
7.32	70.89
7.44	71.07
7.56	71.24
7.68	71.42
7.80	71.60
7.92	71.79
8.04	71.98
8.16	72.17
8.28	72.36
8.40	72.56
8.52	72.76
8.64	72.96
8.76	73.17
8.88	73.38
9.00	73.59
9.12	73.81
9.24	74.03
9.36	74.26
9.48	74.49
9.60	74.73
9.72	74.97
9.84	75.21
9.96	75.46
10.08	75.71
10.20	75.97
10.32	76.24
10.44	76.51
10.56	76.79
10.68	77.07
10.80	77.36
10.92	77.66
11.04	77.96
11.16	78.27
11.28	78.59
11.40	78.92
11.52	79.25
11.64	79.60
11.76	79.96
11.88	80.32
12.00	80.70
12.12	81.09
12.24	81.50
12.36	81.92
12.48	82.35
12.60	82.80
12.72	83.27
12.84	83.75
12.96	84.26
13.08	84.79
13.20	85.36
13.32	85.95
13.44	86.57
13.56	87.24
13.68	87.95
13.80	88.72
13.92	89.56
14.04	90.50
14.16	91.55
14.28	92.74
14.40	94.10
14.52	95.62
14.64	97.23
14.76	98.81
14.88	100.20
15.00	101.19
15.12	101.65
15.24	101.50
15.36	100.76
15.48	99.54
15.60	97.99
15.72	96.32
15.84	94.70
15.96	93.28
16.08	92.12
16.20	91.25
16.32	90.62
16.44	90.17
16.56	89.87
16.68	89.66
16.80	89.53
16.92	89.46
17.04	89.45
17.16	89.48
17.28	89.56
17.40	89.68
17.52	89.82
17.64	89.99
17.76	90.17
17.88	90.35
18.00	90.52
18.12	90.69
18.24	90.85
18.36	90.98
18.48	91.10
18.60	91.18
18.72	91.23
18.84	91.25
18.96	91.24
19.08	91.20
19.20	91.14
19.32	91.06
19.44	90.95
19.56	90.83
19.68	90.69
19.80	90.53
19.92	90.38
20.04	90.22
20.16	90.08
20.28	89.96
20.40	89.86
20.52	89.79
