Depth dose profile, Water equivalent length	Automatic Fit	Selected range Fit
Window's range [ch]:	[122, 258]	[0, 511]
Window's range [mm]:	[14.64, 30.96]	[0.0, 61.32]
Peak position:	29.52 mm	29.52 mm
Peak-plateau ratio:	1.29  	2.56  
Clinical range (R90):	16.17 mm	16.10 mm
Peak width (@50%):	29.80 mm	23.35 mm
Entrance dose:	64.99 %	37.33 %

Water equivalent length	Automatic Fit	Selected range Fit
0.12	63.62	26.52
0.24	63.70	29.92
0.36	63.79	32.28
0.48	63.88	32.97
0.60	63.97	33.38
0.72	64.06	33.64
0.84	64.15	34.21
0.96	64.24	34.22
1.08	64.33	34.21
1.20	64.42	34.47
1.32	64.52	35.00
1.44	64.61	35.75
1.56	64.71	36.37
1.68	64.81	36.66
1.80	64.91	37.19
1.92	65.01	37.75
2.04	65.11	38.33
2.16	65.21	38.90
2.28	65.31	39.54
2.40	65.41	40.26
2.52	65.52	40.60
2.64	65.62	40.93
2.76	65.73	41.05
2.88	65.84	41.19
3.00	65.95	41.61
3.12	66.06	41.87
3.24	66.17	42.08
3.36	66.28	42.46
3.48	66.40	43.05
3.60	66.51	43.61
3.72	66.63	44.01
3.84	66.75	44.26
3.96	66.87	44.41
4.08	66.99	44.48
4.20	67.11	44.56
4.32	67.23	44.52
4.44	67.36	44.37
4.56	67.49	44.24
4.68	67.61	44.28
4.80	67.74	44.43
4.92	67.88	44.71
5.04	68.01	45.17
5.16	68.14	45.72
5.28	68.28	46.31
5.40	68.42	46.92
5.52	68.56	47.45
5.64	68.70	47.87
5.76	68.84	48.21
5.88	68.99	48.54
6.00	69.13	48.92
6.12	69.28	49.38
6.24	69.43	49.86
6.36	69.59	50.32
6.48	69.74	50.78
6.60	69.90	51.26
6.72	70.06	51.73
6.84	70.22	52.09
6.96	70.39	52.22
7.08	70.55	52.15
7.20	70.72	52.06
7.32	70.89	52.06
7.44	71.07	52.16
7.56	71.24	52.34
7.68	71.42	52.64
7.80	71.60	53.14
7.92	71.79	53.86
8.04	71.98	54.69
8.16	72.17	55.53
8.28	72.36	56.29
8.40	72.56	56.96
8.52	72.76	57.57
8.64	72.96	58.13
8.76	73.17	58.66
8.88	73.38	59.14
9.00	73.59	59.55
9.12	73.81	59.94
9.24	74.03	60.35
9.36	74.26	60.76
9.48	74.49	61.15
9.60	74.73	61.49
9.72	74.97	61.80
9.84	75.21	62.17
9.96	75.46	62.66
10.08	75.71	63.34
10.20	75.97	64.20
10.32	76.24	65.19
10.44	76.51	66.26
10.56	76.79	67.34
10.68	77.07	68.39
10.80	77.36	69.31
10.92	77.66	70.06
11.04	77.96	70.64
11.16	78.27	71.08
11.28	78.59	71.45
11.40	78.92	71.79
11.52	79.25	72.11
11.64	79.60	72.45
11.76	79.96	72.81
11.88	80.32	73.23
12.00	80.70	73.69
12.12	81.09	74.21
12.24	81.50	74.77
12.36	81.92	75.36
12.48	82.35	75.97
12.60	82.80	76.61
12.72	83.27	77.26
12.84	83.75	77.94
12.96	84.26	78.65
13.08	84.79	79.40
13.20	85.36	80.21
13.32	85.95	81.08
13.44	86.57	82.00
13.56	87.24	83.00
13.68	87.95	84.06
13.80	88.72	85.20
13.92	89.56	86.43
14.04	90.50	87.78
14.16	91.55	89.26
14.28	92.74	90.91
14.40	94.10	92.72
14.52	95.62	94.69
14.64	97.23	96.71
14.76	98.81	98.66
14.88	100.20	100.34
15.00	101.19	101.54
15.12	101.65	102.12
