Depth dose profile, Perspex equivalent length	Automatic Fit	Selected range Fit
Window's range [ch]:	[88, 259]	[208, 258]
Window's range [mm]:	[9.10, 26.79]	[21.517241379310345, 26.689655172413794]
Peak position:	25.66 mm	25.66 mm
Peak-plateau ratio:	1.23  	1.86  
Clinical range (R90):	24.31 mm	24.68 mm
Peak width (@50%):	25.79 mm	12.28 mm
Entrance dose:	73.08 %	39.26 %

Perspex equivalent length	Automatic Fit	Selected range Fit
0.10	72.58	39.06
0.21	72.69	39.10
0.31	72.80	39.15
0.41	72.91	39.19
0.52	73.02	39.24
0.62	73.13	39.28
0.72	73.24	39.33
0.83	73.36	39.37
0.93	73.47	39.42
1.03	73.59	39.47
1.14	73.71	39.51
1.24	73.83	39.56
1.34	73.95	39.61
1.45	74.08	39.66
1.55	74.20	39.70
1.66	74.33	39.75
1.76	74.46	39.80
1.86	74.59	39.85
1.97	74.72	39.90
2.07	74.85	39.95
2.17	74.98	40.00
2.28	75.12	40.06
2.38	75.26	40.11
2.48	75.40	40.16
2.59	75.54	40.21
2.69	75.68	40.26
2.79	75.83	40.32
2.90	75.97	40.37
3.00	76.12	40.43
3.10	76.27	40.48
3.21	76.43	40.54
3.31	76.58	40.59
3.41	76.74	40.65
3.52	76.90	40.71
3.62	77.06	40.76
3.72	77.23	40.82
3.83	77.39	40.88
3.93	77.56	40.94
4.03	77.73	41.00
4.14	77.91	41.06
4.24	78.08	41.12
4.34	78.26	41.18
4.45	78.45	41.24
4.55	78.63	41.30
4.66	78.82	41.36
4.76	79.01	41.43
4.86	79.21	41.49
4.97	79.41	41.55
5.07	79.61	41.62
5.17	79.81	41.68
5.28	80.02	41.75
5.38	80.24	41.82
5.48	80.45	41.88
5.59	80.67	41.95
5.69	80.90	42.02
5.79	81.13	42.09
5.90	81.36	42.16
6.00	81.60	42.23
6.10	81.85	42.30
6.21	82.10	42.37
6.31	82.35	42.44
6.41	82.61	42.52
6.52	82.88	42.59
6.62	83.15	42.67
6.72	83.43	42.74
6.83	83.72	42.82
6.93	84.01	42.89
7.03	84.32	42.97
7.14	84.63	43.05
7.24	84.95	43.13
7.34	85.28	43.21
7.45	85.62	43.29
7.55	85.97	43.37
7.66	86.34	43.45
7.76	86.71	43.54
7.86	87.11	43.62
7.97	87.52	43.71
8.07	87.95	43.79
8.17	88.40	43.88
8.28	88.88	43.97
8.38	89.38	44.05
8.48	89.92	44.14
8.59	90.51	44.23
8.69	91.16	44.33
8.79	91.88	44.42
8.90	92.71	44.51
9.00	93.62	44.61
9.10	94.58	44.70
9.21	95.47	44.80
9.31	96.18	44.90
9.41	96.66	45.00
9.52	96.90	45.10
9.62	96.94	45.20
9.72	96.86	45.30
9.83	96.69	45.40
9.93	96.48	45.51
10.03	96.27	45.61
10.14	96.10	45.72
10.24	95.99	45.83
10.34	95.95	45.94
10.45	95.97	46.05
10.55	96.01	46.16
10.66	96.05	46.28
10.76	96.07	46.39
10.86	96.07	46.51
10.97	96.07	46.63
11.07	96.09	46.75
11.17	96.15	46.87
11.28	96.26	46.99
11.38	96.42	47.11
11.48	96.64	47.24
11.59	96.88	47.37
11.69	97.14	47.50
11.79	97.40	47.63
11.90	97.65	47.76
12.00	97.90	47.89
12.10	98.17	48.03
12.21	98.44	48.17
12.31	98.71	48.31
12.41	98.99	48.45
12.52	99.25	48.59
12.62	99.50	48.74
12.72	99.72	48.89
12.83	99.93	49.04
12.93	100.10	49.19
13.03	100.23	49.34
13.14	100.30	49.50
13.24	100.29	49.66
13.34	100.17	49.82
13.45	99.95	49.98
13.55	99.61	50.15
13.66	99.20	50.32
13.76	98.77	50.49
13.86	98.36	50.66
13.97	98.04	50.84
14.07	97.80	51.02
14.17	97.66	51.20
14.28	97.60	51.39
14.38	97.59	51.58
14.48	97.61	51.77
14.59	97.64	51.96
14.69	97.67	52.16
14.79	97.72	52.36
14.90	97.78	52.57
15.00	97.87	52.78
15.10	97.98	52.99
15.21	98.12	53.21
15.31	98.26	53.43
15.41	98.41	53.65
15.52	98.55	53.88
15.62	98.70	54.11
15.72	98.85	54.35
15.83	99.00	54.59
15.93	99.16	54.84
16.03	99.32	55.09
16.14	99.46	55.35
16.24	99.57	55.61
16.34	99.64	55.88
16.45	99.66	56.15
16.55	99.61	56.43
16.66	99.48	56.71
16.76	99.29	57.00
16.86	99.02	57.30
16.97	98.69	57.61
17.07	98.33	57.92
17.17	97.95	58.23
17.28	97.57	58.56
17.38	97.21	58.89
17.48	96.88	59.24
17.59	96.58	59.59
17.69	96.30	59.95
17.79	96.04	60.31
17.90	95.78	60.69
18.00	95.50	61.08
18.10	95.19	61.48
18.21	94.83	61.89
18.31	94.42	62.31
18.41	93.96	62.75
18.52	93.47	63.20
18.62	92.96	63.66
18.72	92.46	64.13
18.83	91.97	64.63
18.93	91.54	65.13
19.03	91.17	65.66
19.14	90.88	66.21
19.24	90.70	66.77
19.34	90.62	67.36
19.45	90.65	67.97
19.55	90.78	68.60
19.66	91.02	69.26
19.76	91.34	69.95
19.86	91.72	70.68
19.97	92.14	71.44
20.07	92.58	72.24
20.17	93.02	73.08
20.28	93.41	73.98
20.38	93.75	74.94
20.48	94.02	75.97
20.59	94.22	77.06
20.69	94.33	78.24
20.79	94.36	79.49
20.90	94.33	80.83
21.00	94.24	82.23
21.10	94.12	83.69
21.21	93.99	85.18
21.31	93.87	86.68
21.41	93.77	88.15
21.52	93.72	89.57
21.62	93.74	90.92
21.72	93.85	92.19
21.83	94.05	93.37
21.93	94.36	94.46
22.03	94.76	95.48
22.14	95.26	96.43
22.24	95.81	97.32
22.34	96.40	98.14
22.45	96.99	98.88
22.55	97.53	99.52
22.66	98.00	100.05
22.76	98.35	100.44
22.86	98.56	100.66
22.97	98.60	100.71
23.07	98.47	100.58
23.17	98.16	100.26
23.28	97.68	99.77
23.38	97.05	99.12
23.48	96.29	98.34
23.59	95.44	97.47
23.69	94.55	96.55
23.79	93.64	95.62
23.90	92.78	94.74
24.00	91.99	93.92
24.10	91.30	93.21
24.21	90.72	92.62
24.31	90.25	92.13
24.41	89.85	91.72
24.52	89.49	91.34
24.62	89.10	90.93
24.72	88.59	90.40
24.83	87.87	89.66
24.93	86.85	88.62
25.03	85.44	87.16
25.14	83.55	85.22
25.24	81.12	82.72
25.34	78.09	79.61
25.45	74.47	75.89
25.55	70.27	71.57
25.66	65.54	66.71
25.76	60.36	61.40
25.86	54.85	55.75
25.97	49.15	49.89
26.07	43.38	43.98
26.17	37.70	38.15
26.28	32.23	32.55
26.38	27.10	27.30
26.48	22.39	22.50
26.59	18.17	18.20
26.69	14.48	14.44
26.79	11.32	11.24
26.90	8.69	8.58
27.00	6.53	6.41
27.10	4.82	4.69
27.21	3.48	3.36
27.31	2.46	2.36
27.41	1.70	1.62
27.52	1.15	1.08
27.62	0.76	0.71
27.72	0.49	0.45
27.83	0.31	0.28
27.93	0.19	0.17
28.03	0.12	0.10
28.14	0.07	0.06
28.24	0.04	0.03
28.34	0.02	0.02
28.45	0.01	0.01
28.55	0.01	0.00
28.66	0.00	0.00
28.76	0.00	0.00
28.86	0.00	0.00
28.97	0.00	0.00
29.07	0.00	0.00
29.17	0.00	0.00
29.28	0.00	0.00
29.38	0.00	0.00
29.48	0.00	0.00
29.59	0.00	0.00
29.69	0.00	0.00
29.79	0.00	0.00
29.90	0.00	0.00
30.00	0.00	0.00
30.10	0.00	0.00
30.21	0.00	0.00
30.31	0.00	0.00
30.41	0.00	0.00
30.52	0.00	0.00
30.62	0.00	0.00
30.72	0.00	0.00
30.83	0.00	0.00
30.93	0.00	0.00
31.03	0.00	0.00
31.14	0.00	0.00
31.24	0.00	0.00
31.34	0.00	0.00
31.45	0.00	0.00
31.55	0.00	0.00
31.66	0.00	0.00
31.76	0.00	0.00
31.86	0.00	0.00
31.97	0.00	0.00
32.07	0.00	0.00
32.17	0.00	0.00
32.28	0.00	0.00
32.38	0.00	0.00
32.48	0.00	0.00
32.59	0.00	0.00
32.69	0.00	0.00
32.79	0.00	0.00
32.90	0.00	0.00
33.00	0.00	0.00
33.10	0.00	0.00
33.21	0.00	0.00
33.31	0.00	0.00
33.41	0.00	0.00
33.52	0.00	0.00
33.62	0.00	0.00
33.72	0.00	0.00
33.83	0.00	0.00
33.93	0.00	0.00
34.03	0.00	0.00
34.14	0.00	0.00
34.24	0.00	0.00
34.34	0.00	0.00
34.45	0.00	0.00
34.55	0.00	0.00
34.66	0.00	0.00
34.76	0.00	0.00
34.86	0.00	0.00
34.97	0.00	0.00
35.07	0.00	0.00
35.17	0.00	0.00
35.28	0.00	0.00
35.38	0.00	0.00
35.48	0.00	0.00
35.59	0.00	0.00
35.69	0.00	0.00
35.79	0.00	0.00
35.90	0.00	0.00
36.00	0.00	0.00
36.10	0.00	0.00
36.21	0.00	0.00
36.31	0.00	0.00
36.41	0.00	0.00
36.52	0.00	0.00
36.62	0.00	0.00
36.72	0.00	0.00
36.83	0.00	0.00
36.93	0.00	0.00
37.03	0.00	0.00
37.14	0.00	0.00
37.24	0.00	0.00
37.34	0.00	0.00
37.45	0.00	0.00
37.55	0.00	0.00
37.66	0.00	0.00
37.76	0.00	0.00
37.86	0.00	0.00
37.97	0.00	0.00
38.07	0.00	0.00
38.17	0.00	0.00
38.28	0.00	0.00
38.38	0.00	0.00
38.48	0.00	0.00
38.59	0.00	0.00
38.69	0.00	0.00
38.79	0.00	0.00
38.90	0.00	0.00
39.00	0.00	0.00
39.10	0.00	0.00
39.21	0.00	0.00
39.31	0.00	0.00
39.41	0.00	0.00
39.52	0.00	0.00
39.62	0.00	0.00
39.72	0.00	0.00
39.83	0.00	0.00
39.93	0.00	0.00
40.03	0.00	0.00
40.14	0.00	0.00
40.24	0.00	0.00
40.34	0.00	0.00
40.45	0.00	0.00
40.55	0.00	0.00
40.66	0.00	0.00
40.76	0.00	0.00
40.86	0.00	0.00
40.97	0.00	0.00
41.07	0.00	0.00
41.17	0.00	0.00
41.28	0.00	0.00
41.38	0.00	0.00
41.48	0.00	0.00
41.59	0.00	0.00
41.69	0.00	0.00
41.79	0.00	0.00
41.90	0.00	0.00
42.00	0.00	0.00
42.10	0.00	0.00
42.21	0.00	0.00
42.31	0.00	0.00
42.41	0.00	0.00
42.52	0.00	0.00
42.62	0.00	0.00
42.72	0.00	0.00
42.83	0.00	0.00
42.93	0.00	0.00
43.03	0.00	0.00
43.14	0.00	0.00
43.24	0.00	0.00
43.34	0.00	0.00
43.45	0.00	0.00
43.55	0.00	0.00
43.66	0.00	0.00
43.76	0.00	0.00
43.86	0.00	0.00
43.97	0.00	0.00
44.07	0.00	0.00
44.17	0.00	0.00
44.28	0.00	0.00
44.38	0.00	0.00
44.48	0.00	0.00
44.59	0.00	0.00
44.69	0.00	0.00
44.79	0.00	0.00
44.90	0.00	0.00
45.00	0.00	0.00
45.10	0.00	0.00
45.21	0.00	0.00
45.31	0.00	0.00
45.41	0.00	0.00
45.52	0.00	0.00
45.62	0.00	0.00
45.72	0.00	0.00
45.83	0.00	0.00
45.93	0.00	0.00
46.03	0.00	0.00
46.14	0.00	0.00
46.24	0.00	0.00
46.34	0.00	0.00
46.45	0.00	0.00
46.55	0.00	0.00
46.66	0.00	0.00
46.76	0.00	0.00
46.86	0.00	0.00
46.97	0.00	0.00
47.07	0.00	0.00
47.17	0.00	0.00
47.28	0.00	0.00
47.38	0.00	0.00
47.48	0.00	0.00
47.59	0.00	0.00
47.69	0.00	0.00
47.79	0.00	0.00
47.90	0.00	0.00
48.00	0.00	0.00
48.10	0.00	0.00
48.21	0.00	0.00
48.31	0.00	0.00
48.41	0.00	0.00
48.52	0.00	0.00
48.62	0.00	0.00
48.72	0.00	0.00
48.83	0.00	0.00
48.93	0.00	0.00
49.03	0.00	0.00
49.14	0.00	0.00
49.24	0.00	0.00
49.34	0.00	0.00
49.45	0.00	0.00
49.55	0.00	0.00
49.66	0.00	0.00
49.76	0.00	0.00
49.86	0.00	0.00
49.97	0.00	0.00
50.07	0.00	0.00
50.17	0.00	0.00
50.28	0.00	0.00
50.38	0.00	0.00
50.48	0.00	0.00
50.59	0.00	0.00
50.69	0.00	0.00
50.79	0.00	0.00
50.90	0.00	0.00
51.00	0.00	0.00
51.10	0.00	0.00
51.21	0.00	0.00
51.31	0.00	0.00
51.41	0.00	0.00
51.52	0.00	0.00
51.62	0.00	0.00
51.72	0.00	0.00
51.83	0.00	0.00
51.93	0.00	0.00
52.03	0.00	0.00
52.14	0.00	0.00
52.24	0.00	0.00
52.34	0.00	0.00
52.45	0.00	0.00
52.55	0.00	0.00
52.66	0.00	0.00
52.76	0.00	0.00
52.86	0.00	0.00
52.97	0.00	0.00
