Depth dose profile, Eye tissue equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[270, 295]	[273, 292]
Window's range [mm]:	[30.86, 33.71]	[31.2, 33.371428571428574]
Peak position:	32.46 mm	32.46 mm
Peak-plateau ratio:	2.74  	2.79  
Clinical range (R90):	32.34 mm	32.33 mm
Peak width (@50%):	5.91 mm	5.64 mm
Entrance dose:	27.33 %	26.88 %
Modulation:	0.57 mm	0.55 mm

Eye tissue equivalent length	Automatic Fit	Selected window Fit
0.11	27.22	26.77
0.23	27.24	26.79
0.34	27.27	26.82
0.46	27.29	26.84
0.57	27.32	26.87
0.69	27.34	26.89
0.80	27.37	26.92
0.91	27.40	26.94
1.03	27.42	26.97
1.14	27.45	26.99
1.26	27.48	27.02
1.37	27.50	27.05
1.49	27.53	27.07
1.60	27.56	27.10
1.71	27.58	27.13
1.83	27.61	27.15
1.94	27.64	27.18
2.06	27.67	27.21
2.17	27.70	27.24
2.29	27.72	27.26
2.40	27.75	27.29
2.51	27.78	27.32
2.63	27.81	27.35
2.74	27.84	27.38
2.86	27.87	27.41
2.97	27.90	27.43
3.09	27.93	27.46
3.20	27.96	27.49
3.31	27.99	27.52
3.43	28.02	27.55
3.54	28.05	27.58
3.66	28.08	27.61
3.77	28.11	27.64
3.89	28.14	27.67
4.00	28.17	27.70
4.11	28.20	27.73
4.23	28.23	27.77
4.34	28.27	27.80
4.46	28.30	27.83
4.57	28.33	27.86
4.69	28.36	27.89
4.80	28.40	27.93
4.91	28.43	27.96
5.03	28.46	27.99
5.14	28.50	28.02
5.26	28.53	28.06
5.37	28.56	28.09
5.49	28.60	28.12
5.60	28.63	28.16
5.71	28.67	28.19
5.83	28.70	28.23
5.94	28.74	28.26
6.06	28.77	28.30
6.17	28.81	28.33
6.29	28.85	28.37
6.40	28.88	28.40
6.51	28.92	28.44
6.63	28.96	28.48
6.74	28.99	28.51
6.86	29.03	28.55
6.97	29.07	28.59
7.09	29.11	28.62
7.20	29.14	28.66
7.31	29.18	28.70
7.43	29.22	28.74
7.54	29.26	28.78
7.66	29.30	28.82
7.77	29.34	28.86
7.89	29.38	28.90
8.00	29.42	28.94
8.11	29.46	28.98
8.23	29.50	29.02
8.34	29.55	29.06
8.46	29.59	29.10
8.57	29.63	29.14
8.69	29.67	29.18
8.80	29.72	29.22
8.91	29.76	29.27
9.03	29.80	29.31
9.14	29.85	29.35
9.26	29.89	29.40
9.37	29.94	29.44
9.49	29.98	29.48
9.60	30.03	29.53
9.71	30.07	29.57
9.83	30.12	29.62
9.94	30.16	29.67
10.06	30.21	29.71
10.17	30.26	29.76
10.29	30.31	29.81
10.40	30.35	29.85
10.51	30.40	29.90
10.63	30.45	29.95
10.74	30.50	30.00
10.86	30.55	30.05
10.97	30.60	30.10
11.09	30.65	30.15
11.20	30.70	30.20
11.31	30.76	30.25
11.43	30.81	30.30
11.54	30.86	30.35
11.66	30.91	30.40
11.77	30.97	30.46
11.89	31.02	30.51
12.00	31.08	30.56
12.11	31.13	30.62
12.23	31.19	30.67
12.34	31.24	30.73
12.46	31.30	30.78
12.57	31.36	30.84
12.69	31.42	30.90
12.80	31.47	30.95
12.91	31.53	31.01
13.03	31.59	31.07
13.14	31.65	31.13
13.26	31.71	31.19
13.37	31.77	31.25
13.49	31.84	31.31
13.60	31.90	31.37
13.71	31.96	31.43
13.83	32.02	31.50
13.94	32.09	31.56
14.06	32.15	31.62
14.17	32.22	31.69
14.29	32.28	31.75
14.40	32.35	31.82
14.51	32.42	31.88
14.63	32.49	31.95
14.74	32.56	32.02
14.86	32.63	32.09
14.97	32.70	32.16
15.09	32.77	32.23
15.20	32.84	32.30
15.31	32.91	32.37
15.43	32.99	32.44
15.54	33.06	32.52
15.66	33.14	32.59
15.77	33.21	32.66
15.89	33.29	32.74
16.00	33.37	32.82
16.11	33.44	32.89
16.23	33.52	32.97
16.34	33.60	33.05
16.46	33.69	33.13
16.57	33.77	33.21
16.69	33.85	33.29
16.80	33.93	33.37
16.91	34.02	33.46
