Depth dose profile, Water equivalent length	Automatic Fit
Window's range [ch]:	[267, 296]
Window's range [mm]:	[32.04, 35.52]
Peak position:	34.20 mm
Peak-plateau ratio:	2.69  
Clinical range (R90):	33.98 mm
Peak width (@50%):	6.37 mm
Entrance dose:	27.59 %
Modulation:	0.62 mm

Water equivalent length	Automatic Fit
0.12	27.47
0.24	27.50
0.36	27.52
0.48	27.55
0.60	27.57
0.72	27.60
0.84	27.63
0.96	27.65
1.08	27.68
1.20	27.71
1.32	27.73
1.44	27.76
1.56	27.79
1.68	27.81
1.80	27.84
1.92	27.87
2.04	27.90
2.16	27.93
2.28	27.95
2.40	27.98
2.52	28.01
2.64	28.04
2.76	28.07
2.88	28.10
3.00	28.13
3.12	28.16
3.24	28.19
3.36	28.22
3.48	28.25
3.60	28.28
3.72	28.31
3.84	28.34
3.96	28.37
4.08	28.40
4.20	28.43
4.32	28.46
4.44	28.50
4.56	28.53
4.68	28.56
4.80	28.59
4.92	28.63
5.04	28.66
5.16	28.69
5.28	28.73
5.40	28.76
5.52	28.80
5.64	28.83
5.76	28.86
5.88	28.90
6.00	28.93
6.12	28.97
6.24	29.01
6.36	29.04
6.48	29.08
6.60	29.11
6.72	29.15
6.84	29.19
6.96	29.23
7.08	29.26
7.20	29.30
7.32	29.34
7.44	29.38
7.56	29.42
7.68	29.46
7.80	29.49
7.92	29.53
8.04	29.57
8.16	29.61
8.28	29.66
8.40	29.70
8.52	29.74
8.64	29.78
8.76	29.82
8.88	29.86
9.00	29.91
9.12	29.95
9.24	29.99
9.36	30.04
9.48	30.08
9.60	30.12
9.72	30.17
9.84	30.21
9.96	30.26
10.08	30.31
10.20	30.35
10.32	30.40
10.44	30.45
10.56	30.49
10.68	30.54
10.80	30.59
10.92	30.64
11.04	30.69
11.16	30.74
11.28	30.79
11.40	30.84
11.52	30.89
11.64	30.94
11.76	30.99
11.88	31.04
12.00	31.10
12.12	31.15
12.24	31.20
12.36	31.26
12.48	31.31
12.60	31.37
12.72	31.42
12.84	31.48
12.96	31.53
13.08	31.59
13.20	31.65
13.32	31.71
13.44	31.77
