Depth dose profile, Eye tissue equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[267, 296]	[250, 298]
Window's range [mm]:	[30.51, 33.83]	[28.57, 34.06]
Peak position:	32.57 mm	32.57 mm
Peak-plateau ratio:	2.69  	2.55  
Clinical range (R90):	32.36 mm	32.36 mm
Peak width (@50%):	6.07 mm	6.94 mm
Entrance dose:	27.59 %	28.99 %
Modulation:	0.59 mm	0.59 mm

Eye tissue equivalent length	Automatic Fit	Selected window Fit
0.11	27.47	28.87
0.23	27.50	28.89
0.34	27.52	28.92
0.46	27.55	28.95
0.57	27.57	28.97
0.69	27.60	29.00
0.80	27.63	29.03
0.91	27.65	29.06
1.03	27.68	29.09
1.14	27.71	29.11
1.26	27.73	29.14
1.37	27.76	29.17
1.49	27.79	29.20
1.60	27.81	29.23
1.71	27.84	29.26
1.83	27.87	29.29
1.94	27.90	29.32
2.06	27.93	29.35
2.17	27.95	29.38
2.29	27.98	29.41
2.40	28.01	29.44
2.51	28.04	29.47
2.63	28.07	29.50
2.74	28.10	29.53
2.86	28.13	29.56
2.97	28.16	29.59
3.09	28.19	29.62
3.20	28.22	29.65
3.31	28.25	29.69
3.43	28.28	29.72
3.54	28.31	29.75
3.66	28.34	29.78
3.77	28.37	29.82
3.89	28.40	29.85
4.00	28.43	29.88
4.11	28.46	29.92
4.23	28.50	29.95
4.34	28.53	29.98
4.46	28.56	30.02
4.57	28.59	30.05
4.69	28.63	30.09
4.80	28.66	30.12
4.91	28.69	30.16
5.03	28.73	30.19
5.14	28.76	30.23
5.26	28.80	30.26
5.37	28.83	30.30
5.49	28.86	30.34
5.60	28.90	30.37
5.71	28.93	30.41
5.83	28.97	30.45
5.94	29.01	30.49
6.06	29.04	30.53
6.17	29.08	30.56
6.29	29.11	30.60
6.40	29.15	30.64
6.51	29.19	30.68
6.63	29.23	30.72
6.74	29.26	30.76
6.86	29.30	30.80
6.97	29.34	30.84
7.09	29.38	30.88
7.20	29.42	30.92
7.31	29.46	30.96
7.43	29.49	31.00
7.54	29.53	31.05
7.66	29.57	31.09
7.77	29.61	31.13
7.89	29.66	31.17
8.00	29.70	31.22
8.11	29.74	31.26
8.23	29.78	31.31
8.34	29.82	31.35
8.46	29.86	31.39
8.57	29.91	31.44
8.69	29.95	31.49
8.80	29.99	31.53
8.91	30.04	31.58
9.03	30.08	31.62
9.14	30.12	31.67
9.26	30.17	31.72
9.37	30.21	31.77
9.49	30.26	31.81
9.60	30.31	31.86
