Depth dose profile, Perspex equivalent length	Automatic Fit	Selected window Fit
Window's range [ch]:	[267, 296]	[250, 298]
Window's range [mm]:	[27.62, 30.62]	[25.86, 30.83]
Peak position:	29.48 mm	29.48 mm
Peak-plateau ratio:	2.69  	2.55  
Clinical range (R90):	29.29 mm	29.29 mm
Peak width (@50%):	5.49 mm	6.28 mm
Entrance dose:	27.59 %	28.99 %
Modulation:	6.83 mm	6.83 mm

Perspex equivalent length	Automatic Fit	Selected window Fit
0.10	27.47	28.87
0.21	27.50	28.89
0.31	27.52	28.92
0.41	27.55	28.95
0.52	27.57	28.97
0.62	27.60	29.00
0.72	27.63	29.03
0.83	27.65	29.06
0.93	27.68	29.09
1.03	27.71	29.11
1.14	27.73	29.14
1.24	27.76	29.17
1.34	27.79	29.20
1.45	27.81	29.23
1.55	27.84	29.26
1.66	27.87	29.29
1.76	27.90	29.32
1.86	27.93	29.35
1.97	27.95	29.38
2.07	27.98	29.41
2.17	28.01	29.44
2.28	28.04	29.47
2.38	28.07	29.50
2.48	28.10	29.53
2.59	28.13	29.56
2.69	28.16	29.59
2.79	28.19	29.62
2.90	28.22	29.65
3.00	28.25	29.69
3.10	28.28	29.72
3.21	28.31	29.75
3.31	28.34	29.78
3.41	28.37	29.82
3.52	28.40	29.85
3.62	28.43	29.88
3.72	28.46	29.92
3.83	28.50	29.95
3.93	28.53	29.98
4.03	28.56	30.02
4.14	28.59	30.05
4.24	28.63	30.09
4.34	28.66	30.12
4.45	28.69	30.16
4.55	28.73	30.19
4.66	28.76	30.23
4.76	28.80	30.26
4.86	28.83	30.30
4.97	28.86	30.34
5.07	28.90	30.37
5.17	28.93	30.41
5.28	28.97	30.45
5.38	29.01	30.49
5.48	29.04	30.53
5.59	29.08	30.56
5.69	29.11	30.60
5.79	29.15	30.64
5.90	29.19	30.68
6.00	29.23	30.72
6.10	29.26	30.76
6.21	29.30	30.80
6.31	29.34	30.84
6.41	29.38	30.88
6.52	29.42	30.92
6.62	29.46	30.96
6.72	29.49	31.00
6.83	29.53	31.05
6.93	29.57	31.09
7.03	29.61	31.13
7.14	29.66	31.17
7.24	29.70	31.22
7.34	29.74	31.26
7.45	29.78	31.31
7.55	29.82	31.35
7.66	29.86	31.39
7.76	29.91	31.44
7.86	29.95	31.49
7.97	29.99	31.53
8.07	30.04	31.58
8.17	30.08	31.62
8.28	30.12	31.67
8.38	30.17	31.72
8.48	30.21	31.77
8.59	30.26	31.81
8.69	30.31	31.86
8.79	30.35	31.91
8.90	30.40	31.96
9.00	30.45	32.01
9.10	30.49	32.06
9.21	30.54	32.11
9.31	30.59	32.16
9.41	30.64	32.21
9.52	30.69	32.27
9.62	30.74	32.32
9.72	30.79	32.37
9.83	30.84	32.43
9.93	30.89	32.48
10.03	30.94	32.53
10.14	30.99	32.59
10.24	31.04	32.64
10.34	31.10	32.70
10.45	31.15	32.76
10.55	31.20	32.81
